ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Mode_of_Shipment_encoded,Customer_rating_category,Prior_purchases_category,Gender_encoded,Interaction_CustomerRating_Discount,Interaction_CustomerCalls_Rating,Shipping_speed,Total_interactions,Expected_delivery_time,CustomerCare_vs_ExpectedTime,ProductImportance_avg_delivery,ShippingMode_avg_delivery,Interaction_Weight_Discount,Customer_rating_and_delivery_time,Product_importance_and_delivery_time,High_product_importance_and_high_rating,Weight_category,Discount_category,Product_Value,Customer_Loyalty,Customer_Satisfaction_Score,Delivery_Time_per_Weight
5845,D,Ship,3,4,98,3,low,M,5,4432,0,1,Standard,Low,1,20,12,1477.3333333333333,6,4,-1,0.5927883707759108,0.5975609756097561,22160,0,,0,Heavy,Low,434336,Regular,2.0,1108.0
5846,F,Ship,5,1,138,3,low,M,10,5612,1,1,VeryLow,Low,1,10,5,1122.4,8,4,1,0.5927883707759108,0.5975609756097561,56120,1,low,0,Heavy,Low,774456,Regular,1.0,1403.0
5847,A,Ship,5,5,193,5,high,F,4,5087,1,1,High,Low,0,20,25,1017.4,10,4,1,0.6497890295358649,0.5975609756097561,20348,5,high,1,Heavy,Low,981791,Regular,3.0,1271.75
5848,B,Ship,5,5,184,3,medium,M,7,4742,0,1,High,Low,1,35,25,948.4,8,4,1,0.5904501472444258,0.5975609756097561,33194,0,,0,Heavy,Low,872528,Regular,2.5,1185.5
5849,C,Ship,4,4,172,3,medium,M,7,5098,0,1,Standard,Low,1,28,16,1274.5,7,4,0,0.5904501472444258,0.5975609756097561,35686,0,,0,Heavy,Low,876856,Regular,2.0,1274.5
5850,F,Ship,4,3,248,2,medium,M,2,4701,1,1,Average,Very Low,1,6,12,1175.25,6,4,0,0.5904501472444258,0.5975609756097561,9402,3,medium,0,Heavy,Low,1165848,New,2.0,1175.25
5851,D,Ship,2,4,114,5,high,F,5,5334,1,1,Standard,Low,0,20,8,2667.0,7,4,-2,0.6497890295358649,0.5975609756097561,26670,4,high,0,Heavy,Low,608076,Regular,2.5,1333.5
5852,F,Ship,4,5,201,2,high,F,2,4657,0,1,High,Very Low,0,10,20,1164.25,6,4,0,0.6497890295358649,0.5975609756097561,9314,0,,1,Heavy,Low,936057,New,2.5,1164.25
5853,A,Ship,3,4,206,4,medium,M,2,4372,0,1,Standard,Low,1,8,12,1457.3333333333333,7,4,-1,0.5904501472444258,0.5975609756097561,8744,0,,0,Heavy,Low,900632,Regular,2.0,1093.0
5854,B,Ship,6,1,185,4,high,F,10,5254,1,1,VeryLow,Low,0,10,6,875.6666666666666,10,4,2,0.6497890295358649,0.5975609756097561,52540,1,high,0,Heavy,Low,971990,Regular,1.0,1313.5
5855,C,Ship,5,2,272,3,high,M,5,4972,0,1,Low,Low,1,10,10,994.4,8,4,1,0.6497890295358649,0.5975609756097561,24860,0,,0,Heavy,Low,1352384,Regular,1.0,1243.0
5856,F,Ship,4,3,266,2,medium,M,6,4286,1,1,Average,Very Low,1,18,12,1071.5,6,4,0,0.5904501472444258,0.5975609756097561,25716,3,medium,0,Heavy,Low,1140076,New,2.0,1071.5
5857,D,Ship,3,4,203,2,low,M,9,5735,0,1,Standard,Very Low,1,36,12,1911.6666666666667,5,4,-1,0.5927883707759108,0.5975609756097561,51615,0,,0,Heavy,Low,1164205,New,2.0,1433.75
5858,F,Ship,4,3,218,5,low,M,2,4823,1,1,Average,Low,1,6,12,1205.75,9,4,0,0.5927883707759108,0.5975609756097561,9646,3,low,0,Heavy,Low,1051414,Regular,2.0,1205.75
5859,A,Ship,2,5,279,3,low,F,8,4632,0,1,High,Low,0,40,10,2316.0,5,4,-2,0.5927883707759108,0.5975609756097561,37056,0,,0,Heavy,Low,1292328,Regular,2.5,1158.0
5860,B,Ship,4,4,159,2,low,M,4,4648,1,1,Standard,Very Low,1,16,16,1162.0,6,4,0,0.5927883707759108,0.5975609756097561,18592,4,low,0,Heavy,Low,739032,New,2.5,1162.0
5861,C,Ship,5,3,138,3,low,F,5,5687,1,1,Average,Low,0,15,15,1137.4,8,4,1,0.5927883707759108,0.5975609756097561,28435,3,low,0,Heavy,Low,784806,Regular,2.0,1421.75
5862,F,Ship,3,2,224,3,low,F,7,5896,0,1,Low,Low,0,14,6,1965.3333333333333,6,4,-1,0.5927883707759108,0.5975609756097561,41272,0,,0,Heavy,Low,1320704,Regular,1.0,1474.0
5863,D,Ship,3,3,269,3,low,M,4,4309,0,1,Average,Low,1,12,9,1436.3333333333333,6,4,-1,0.5927883707759108,0.5975609756097561,17236,0,,0,Heavy,Low,1159121,Regular,1.5,1077.25
5864,F,Ship,5,3,121,2,medium,F,4,5231,1,1,Average,Very Low,0,12,15,1046.2,7,4,1,0.5904501472444258,0.5975609756097561,20924,3,medium,0,Heavy,Low,632951,New,2.0,1307.75
5865,A,Road,4,3,134,2,low,F,2,4522,0,3,Average,Very Low,0,6,12,1130.5,6,6,-2,0.5927883707759108,0.5880681818181818,9044,0,,0,Heavy,Low,605948,New,1.5,753.6666666666666
5866,B,Road,4,5,259,3,medium,M,4,5344,1,3,High,Low,1,20,20,1336.0,7,6,-2,0.5904501472444258,0.5880681818181818,21376,5,medium,0,Heavy,Low,1384096,Regular,3.0,890.6666666666666
5867,C,Road,4,4,206,2,high,M,8,4093,1,3,Standard,Very Low,1,32,16,1023.25,6,6,-2,0.6497890295358649,0.5880681818181818,32744,4,high,0,Heavy,Low,843158,New,2.5,682.1666666666666
5868,F,Road,3,1,209,2,low,M,6,5701,1,3,VeryLow,Very Low,1,6,3,1900.3333333333333,5,6,-3,0.5927883707759108,0.5880681818181818,34206,1,low,0,Heavy,Low,1191509,New,1.0,950.1666666666666
5869,D,Road,3,3,145,3,medium,M,1,5709,0,3,Average,Low,1,3,9,1903.0,6,6,-3,0.5904501472444258,0.5880681818181818,5709,0,,0,Heavy,Low,827805,Regular,1.5,951.5
5870,F,Road,5,2,164,2,medium,M,8,5717,0,3,Low,Very Low,1,16,10,1143.4,7,6,-1,0.5904501472444258,0.5880681818181818,45736,0,,0,Heavy,Low,937588,New,1.0,952.8333333333334
5871,A,Road,3,1,133,3,medium,M,6,5464,1,3,VeryLow,Low,1,6,3,1821.3333333333333,6,6,-3,0.5904501472444258,0.5880681818181818,32784,1,medium,0,Heavy,Low,726712,Regular,1.0,910.6666666666666
5872,B,Road,3,2,178,3,low,F,5,5686,0,3,Low,Low,0,10,6,1895.3333333333333,6,6,-3,0.5927883707759108,0.5880681818181818,28430,0,,0,Heavy,Low,1012108,Regular,1.0,947.6666666666666
5873,C,Road,4,3,175,2,low,M,3,4200,0,3,Average,Very Low,1,9,12,1050.0,6,6,-2,0.5927883707759108,0.5880681818181818,12600,0,,0,Heavy,Low,735000,New,1.5,700.0
5874,F,Road,2,4,242,3,medium,M,8,4898,0,3,Standard,Low,1,32,8,2449.0,5,6,-4,0.5904501472444258,0.5880681818181818,39184,0,,0,Heavy,Low,1185316,Regular,2.0,816.3333333333334
5875,D,Road,4,2,202,3,low,M,8,4575,1,3,Low,Low,1,16,8,1143.75,7,6,-2,0.5927883707759108,0.5880681818181818,36600,2,low,0,Heavy,Low,924150,Regular,1.5,762.5
5876,F,Road,4,3,176,2,low,F,6,5149,1,3,Average,Very Low,0,18,12,1287.25,6,6,-2,0.5927883707759108,0.5880681818181818,30894,3,low,0,Heavy,Low,906224,New,2.0,858.1666666666666
5877,A,Road,4,3,203,4,low,F,1,5274,0,3,Average,Low,0,3,12,1318.5,8,6,-2,0.5927883707759108,0.5880681818181818,5274,0,,0,Heavy,Low,1070622,Regular,1.5,879.0
5878,B,Road,4,3,207,4,low,M,5,5008,1,3,Average,Low,1,15,12,1252.0,8,6,-2,0.5927883707759108,0.5880681818181818,25040,3,low,0,Heavy,Low,1036656,Regular,2.0,834.6666666666666
5879,C,Road,4,2,268,3,medium,M,1,4927,0,3,Low,Low,1,2,8,1231.75,7,6,-2,0.5904501472444258,0.5880681818181818,4927,0,,0,Heavy,Low,1320436,Regular,1.0,821.1666666666666
5880,F,Road,3,3,244,3,low,M,6,5109,0,3,Average,Low,1,18,9,1703.0,6,6,-3,0.5927883707759108,0.5880681818181818,30654,0,,0,Heavy,Low,1246596,Regular,1.5,851.5
5881,D,Road,3,5,134,3,low,F,10,4693,0,3,High,Low,0,50,15,1564.3333333333333,6,6,-3,0.5927883707759108,0.5880681818181818,46930,0,,0,Heavy,Low,628862,Regular,2.5,782.1666666666666
5882,F,Road,3,4,143,3,low,F,1,4392,1,3,Standard,Low,0,4,12,1464.0,6,6,-3,0.5927883707759108,0.5880681818181818,4392,4,low,0,Heavy,Low,628056,Regular,2.5,732.0
5883,A,Road,3,5,246,3,low,F,2,5556,1,3,High,Low,0,10,15,1852.0,6,6,-3,0.5927883707759108,0.5880681818181818,11112,5,low,0,Heavy,Low,1366776,Regular,3.0,926.0
5884,B,Road,3,2,157,2,low,F,7,5228,0,3,Low,Very Low,0,14,6,1742.6666666666667,5,6,-3,0.5927883707759108,0.5880681818181818,36596,0,,0,Heavy,Low,820796,New,1.0,871.3333333333334
5885,C,Road,3,3,169,3,low,M,10,5147,0,3,Average,Low,1,30,9,1715.6666666666667,6,6,-3,0.5927883707759108,0.5880681818181818,51470,0,,0,Heavy,Low,869843,Regular,1.5,857.8333333333334
5886,F,Road,4,5,231,3,low,F,6,4449,1,3,High,Low,0,30,20,1112.25,7,6,-2,0.5927883707759108,0.5880681818181818,26694,5,low,0,Heavy,Low,1027719,Regular,3.0,741.5
5887,D,Flight,3,3,262,5,medium,F,1,5043,0,2,Average,Low,0,3,9,1681.0,8,2,1,0.5904501472444258,0.6015756893640968,5043,0,,0,Heavy,Low,1321266,Regular,1.5,2521.5
5888,F,Flight,3,2,227,2,medium,M,10,4290,0,2,Low,Very Low,1,20,6,1430.0,5,2,1,0.5904501472444258,0.6015756893640968,42900,0,,0,Heavy,Low,973830,New,1.0,2145.0
5889,A,Flight,5,2,162,4,medium,M,7,5477,1,2,Low,Low,1,14,10,1095.4,9,2,3,0.5904501472444258,0.6015756893640968,38339,2,medium,0,Heavy,Low,887274,Regular,1.5,2738.5
5890,B,Flight,5,5,148,2,medium,M,4,4812,0,2,High,Very Low,1,20,25,962.4,7,2,3,0.5904501472444258,0.6015756893640968,19248,0,,0,Heavy,Low,712176,New,2.5,2406.0
5891,C,Flight,3,4,138,2,medium,F,8,4837,0,2,Standard,Very Low,0,32,12,1612.3333333333333,5,2,1,0.5904501472444258,0.6015756893640968,38696,0,,0,Heavy,Low,667506,New,2.0,2418.5
5892,F,Flight,3,3,255,2,medium,F,3,4824,0,2,Average,Very Low,0,9,9,1608.0,5,2,1,0.5904501472444258,0.6015756893640968,14472,0,,0,Heavy,Low,1230120,New,1.5,2412.0
5893,D,Flight,3,5,218,3,low,M,2,5841,0,2,High,Low,1,10,15,1947.0,6,2,1,0.5927883707759108,0.6015756893640968,11682,0,,0,Heavy,Low,1273338,Regular,2.5,2920.5
5894,F,Flight,4,1,260,4,low,M,2,4091,1,2,VeryLow,Low,1,2,4,1022.75,8,2,2,0.5927883707759108,0.6015756893640968,8182,1,low,0,Heavy,Low,1063660,Regular,1.0,2045.5
5895,A,Flight,4,3,142,2,low,F,5,5502,1,2,Average,Very Low,0,15,12,1375.5,6,2,2,0.5927883707759108,0.6015756893640968,27510,3,low,0,Heavy,Low,781284,New,2.0,2751.0
5896,B,Flight,4,5,257,3,medium,M,5,4180,0,2,High,Low,1,25,20,1045.0,7,2,2,0.5904501472444258,0.6015756893640968,20900,0,,0,Heavy,Low,1074260,Regular,2.5,2090.0
5897,C,Flight,4,2,252,3,low,F,1,4176,0,2,Low,Low,0,2,8,1044.0,7,2,2,0.5927883707759108,0.6015756893640968,4176,0,,0,Heavy,Low,1052352,Regular,1.0,2088.0
5898,F,Flight,5,4,151,5,low,F,1,4122,0,2,Standard,Low,0,4,20,824.4,10,2,3,0.5927883707759108,0.6015756893640968,4122,0,,0,Heavy,Low,622422,Regular,2.0,2061.0
5899,D,Flight,4,3,190,5,low,F,8,4736,0,2,Average,Low,0,24,12,1184.0,9,2,2,0.5927883707759108,0.6015756893640968,37888,0,,0,Heavy,Low,899840,Regular,1.5,2368.0
5900,F,Flight,4,5,137,2,low,M,7,4068,0,2,High,Very Low,1,35,20,1017.0,6,2,2,0.5927883707759108,0.6015756893640968,28476,0,,0,Heavy,Low,557316,New,2.5,2034.0
5901,A,Flight,4,4,164,2,low,M,7,5456,0,2,Standard,Very Low,1,28,16,1364.0,6,2,2,0.5927883707759108,0.6015756893640968,38192,0,,0,Heavy,Low,894784,New,2.0,2728.0
5902,B,Flight,3,5,271,3,low,F,9,5328,0,2,High,Low,0,45,15,1776.0,6,2,1,0.5927883707759108,0.6015756893640968,47952,0,,0,Heavy,Low,1443888,Regular,2.5,2664.0
5903,C,Flight,3,5,162,2,high,M,1,4573,1,2,High,Very Low,1,5,15,1524.3333333333333,5,2,1,0.6497890295358649,0.6015756893640968,4573,5,high,1,Heavy,Low,740826,New,3.0,2286.5
5904,F,Flight,2,4,221,5,medium,M,4,4034,1,2,Standard,Low,1,16,8,2017.0,7,2,0,0.5904501472444258,0.6015756893640968,16136,4,medium,0,Heavy,Low,891514,Regular,2.5,2017.0
5905,D,Flight,5,4,202,3,low,F,3,4559,1,2,Standard,Low,0,12,20,911.8,8,2,3,0.5927883707759108,0.6015756893640968,13677,4,low,0,Heavy,Low,920918,Regular,2.5,2279.5
5906,F,Flight,4,5,143,2,low,M,1,5836,0,2,High,Very Low,1,5,20,1459.0,6,2,2,0.5927883707759108,0.6015756893640968,5836,0,,0,Heavy,Low,834548,New,2.5,2918.0
5907,A,Flight,3,5,254,3,low,M,6,4703,0,2,High,Low,1,30,15,1567.6666666666667,6,2,1,0.5927883707759108,0.6015756893640968,28218,0,,0,Heavy,Low,1194562,Regular,2.5,2351.5
5908,B,Flight,4,3,96,4,medium,M,1,4984,1,2,Average,Low,1,3,12,1246.0,8,2,2,0.5904501472444258,0.6015756893640968,4984,3,medium,0,Heavy,Low,478464,Regular,2.0,2492.0
5909,C,Ship,3,3,199,5,medium,F,10,4847,1,1,Average,Low,0,30,9,1615.6666666666667,8,4,-1,0.5904501472444258,0.5975609756097561,48470,3,medium,0,Heavy,Low,964553,Regular,2.0,1211.75
5910,F,Ship,4,1,198,4,low,F,5,5182,0,1,VeryLow,Low,0,5,4,1295.5,8,4,0,0.5927883707759108,0.5975609756097561,25910,0,,0,Heavy,Low,1026036,Regular,0.5,1295.5
5911,D,Ship,4,3,257,3,low,F,2,5198,1,1,Average,Low,0,6,12,1299.5,7,4,0,0.5927883707759108,0.5975609756097561,10396,3,low,0,Heavy,Low,1335886,Regular,2.0,1299.5
5912,F,Ship,3,2,149,5,medium,F,9,4310,0,1,Low,Low,0,18,6,1436.6666666666667,8,4,-1,0.5904501472444258,0.5975609756097561,38790,0,,0,Heavy,Low,642190,Regular,1.0,1077.5
5913,A,Ship,5,1,193,4,medium,F,10,5280,0,1,VeryLow,Low,0,10,5,1056.0,9,4,1,0.5904501472444258,0.5975609756097561,52800,0,,0,Heavy,Low,1019040,Regular,0.5,1320.0
5914,B,Ship,3,5,284,2,low,M,10,5619,0,1,High,Very Low,1,50,15,1873.0,5,4,-1,0.5927883707759108,0.5975609756097561,56190,0,,0,Heavy,Low,1595796,New,2.5,1404.75
5915,C,Ship,4,5,205,4,medium,F,5,5264,0,1,High,Low,0,25,20,1316.0,8,4,0,0.5904501472444258,0.5975609756097561,26320,0,,0,Heavy,Low,1079120,Regular,2.5,1316.0
5916,F,Ship,5,5,185,3,low,M,5,4520,1,1,High,Low,1,25,25,904.0,8,4,1,0.5927883707759108,0.5975609756097561,22600,5,low,0,Heavy,Low,836200,Regular,3.0,1130.0
5917,D,Ship,5,4,268,3,high,F,10,4955,0,1,Standard,Low,0,40,20,991.0,8,4,1,0.6497890295358649,0.5975609756097561,49550,0,,0,Heavy,Low,1327940,Regular,2.0,1238.75
5918,F,Ship,5,1,252,3,medium,M,2,4339,0,1,VeryLow,Low,1,2,5,867.8,8,4,1,0.5904501472444258,0.5975609756097561,8678,0,,0,Heavy,Low,1093428,Regular,0.5,1084.75
5919,A,Ship,4,3,196,2,low,F,5,5656,0,1,Average,Very Low,0,15,12,1414.0,6,4,0,0.5927883707759108,0.5975609756097561,28280,0,,0,Heavy,Low,1108576,New,1.5,1414.0
5920,B,Ship,3,3,149,3,low,M,6,4654,0,1,Average,Low,1,18,9,1551.3333333333333,6,4,-1,0.5927883707759108,0.5975609756097561,27924,0,,0,Heavy,Low,693446,Regular,1.5,1163.5
5921,C,Ship,5,5,154,2,medium,M,3,4669,0,1,High,Very Low,1,15,25,933.8,7,4,1,0.5904501472444258,0.5975609756097561,14007,0,,0,Heavy,Low,719026,New,2.5,1167.25
5922,F,Ship,5,4,267,2,medium,M,4,4053,0,1,Standard,Very Low,1,16,20,810.6,7,4,1,0.5904501472444258,0.5975609756097561,16212,0,,0,Heavy,Low,1082151,New,2.0,1013.25
5923,D,Ship,3,3,208,2,medium,F,5,5661,0,1,Average,Very Low,0,15,9,1887.0,5,4,-1,0.5904501472444258,0.5975609756097561,28305,0,,0,Heavy,Low,1177488,New,1.5,1415.25
5924,F,Ship,5,5,275,3,medium,M,9,4287,1,1,High,Low,1,45,25,857.4,8,4,1,0.5904501472444258,0.5975609756097561,38583,5,medium,0,Heavy,Low,1178925,Regular,3.0,1071.75
5925,A,Ship,4,2,272,2,low,F,1,5939,1,1,Low,Very Low,0,2,8,1484.75,6,4,0,0.5927883707759108,0.5975609756097561,5939,2,low,0,Heavy,Low,1615408,New,1.5,1484.75
5926,B,Ship,6,5,280,3,low,M,9,4074,1,1,High,Low,1,45,30,679.0,9,4,2,0.5927883707759108,0.5975609756097561,36666,5,low,0,Heavy,Low,1140720,Regular,3.0,1018.5
5927,C,Ship,6,3,202,3,low,F,5,4930,0,1,Average,Low,0,15,18,821.6666666666666,9,4,2,0.5927883707759108,0.5975609756097561,24650,0,,0,Heavy,Low,995860,Regular,1.5,1232.5
5928,F,Ship,5,2,184,3,medium,F,8,4581,0,1,Low,Low,0,16,10,916.2,8,4,1,0.5904501472444258,0.5975609756097561,36648,0,,0,Heavy,Low,842904,Regular,1.0,1145.25
5929,D,Ship,5,2,244,5,medium,F,7,5515,0,1,Low,Low,0,14,10,1103.0,10,4,1,0.5904501472444258,0.5975609756097561,38605,0,,0,Heavy,Low,1345660,Regular,1.0,1378.75
5930,F,Ship,4,4,138,5,low,M,10,5401,0,1,Standard,Low,1,40,16,1350.25,9,4,0,0.5927883707759108,0.5975609756097561,54010,0,,0,Heavy,Low,745338,Regular,2.0,1350.25
5931,A,Ship,4,3,109,2,medium,F,4,5407,0,1,Average,Very Low,0,12,12,1351.75,6,4,0,0.5904501472444258,0.5975609756097561,21628,0,,0,Heavy,Low,589363,New,1.5,1351.75
5932,B,Ship,2,5,189,5,low,M,3,5292,0,1,High,Low,1,15,10,2646.0,7,4,-2,0.5927883707759108,0.5975609756097561,15876,0,,0,Heavy,Low,1000188,Regular,2.5,1323.0
5933,C,Ship,3,2,170,3,low,M,9,4069,0,1,Low,Low,1,18,6,1356.3333333333333,6,4,-1,0.5927883707759108,0.5975609756097561,36621,0,,0,Heavy,Low,691730,Regular,1.0,1017.25
5934,F,Ship,3,1,183,2,medium,F,10,4598,0,1,VeryLow,Very Low,0,10,3,1532.6666666666667,5,4,-1,0.5904501472444258,0.5975609756097561,45980,0,,0,Heavy,Low,841434,New,0.5,1149.5
5935,D,Ship,3,4,263,6,high,M,3,4429,0,1,Standard,Medium,1,12,12,1476.3333333333333,9,4,-1,0.6497890295358649,0.5975609756097561,13287,0,,0,Heavy,Low,1164827,Frequent,2.0,1107.25
5936,F,Ship,4,1,271,4,low,M,9,5853,1,1,VeryLow,Low,1,9,4,1463.25,8,4,0,0.5927883707759108,0.5975609756097561,52677,1,low,0,Heavy,Low,1586163,Regular,1.0,1463.25
5937,A,Ship,6,3,202,4,medium,F,3,4496,1,1,Average,Low,0,9,18,749.3333333333334,10,4,2,0.5904501472444258,0.5975609756097561,13488,3,medium,0,Heavy,Low,908192,Regular,2.0,1124.0
5938,B,Ship,3,3,265,3,medium,F,8,5070,0,1,Average,Low,0,24,9,1690.0,6,4,-1,0.5904501472444258,0.5975609756097561,40560,0,,0,Heavy,Low,1343550,Regular,1.5,1267.5
5939,C,Ship,4,1,220,3,medium,F,6,4472,0,1,VeryLow,Low,0,6,4,1118.0,7,4,0,0.5904501472444258,0.5975609756097561,26832,0,,0,Heavy,Low,983840,Regular,0.5,1118.0
5940,F,Ship,4,4,274,2,low,F,7,4873,1,1,Standard,Very Low,0,28,16,1218.25,6,4,0,0.5927883707759108,0.5975609756097561,34111,4,low,0,Heavy,Low,1335202,New,2.5,1218.25
5941,D,Ship,4,5,212,2,medium,M,10,4552,0,1,High,Very Low,1,50,20,1138.0,6,4,0,0.5904501472444258,0.5975609756097561,45520,0,,0,Heavy,Low,965024,New,2.5,1138.0
5942,F,Ship,4,2,244,3,high,M,1,5559,1,1,Low,Low,1,2,8,1389.75,7,4,0,0.6497890295358649,0.5975609756097561,5559,2,high,0,Heavy,Low,1356396,Regular,1.5,1389.75
5943,A,Ship,4,5,252,3,medium,F,4,5017,0,1,High,Low,0,20,20,1254.25,7,4,0,0.5904501472444258,0.5975609756097561,20068,0,,0,Heavy,Low,1264284,Regular,2.5,1254.25
5944,B,Ship,5,5,158,2,low,M,8,4743,0,1,High,Very Low,1,40,25,948.6,7,4,1,0.5927883707759108,0.5975609756097561,37944,0,,0,Heavy,Low,749394,New,2.5,1185.75
5945,C,Ship,2,5,286,6,medium,F,5,5490,0,1,High,Medium,0,25,10,2745.0,8,4,-2,0.5904501472444258,0.5975609756097561,27450,0,,0,Heavy,Low,1570140,Frequent,2.5,1372.5
5946,F,Ship,3,5,164,3,high,M,10,4639,1,1,High,Low,1,50,15,1546.3333333333333,6,4,-1,0.6497890295358649,0.5975609756097561,46390,5,high,1,Heavy,Low,760796,Regular,3.0,1159.75
5947,D,Ship,4,3,170,6,medium,M,6,4998,0,1,Average,Medium,1,18,12,1249.5,10,4,0,0.5904501472444258,0.5975609756097561,29988,0,,0,Heavy,Low,849660,Frequent,1.5,1249.5
5948,F,Ship,4,1,269,2,medium,F,8,4930,0,1,VeryLow,Very Low,0,8,4,1232.5,6,4,0,0.5904501472444258,0.5975609756097561,39440,0,,0,Heavy,Low,1326170,New,0.5,1232.5
5949,A,Ship,4,2,238,2,low,F,2,4002,0,1,Low,Very Low,0,4,8,1000.5,6,4,0,0.5927883707759108,0.5975609756097561,8004,0,,0,Heavy,Low,952476,New,1.0,1000.5
5950,B,Ship,4,3,198,7,medium,F,1,5315,0,1,Average,Medium,0,3,12,1328.75,11,4,0,0.5904501472444258,0.5975609756097561,5315,0,,0,Heavy,Low,1052370,Frequent,1.5,1328.75
5951,C,Ship,4,4,184,8,low,M,7,5235,1,1,Standard,Medium,1,28,16,1308.75,12,4,0,0.5927883707759108,0.5975609756097561,36645,4,low,0,Heavy,Low,963240,Frequent,2.5,1308.75
5952,F,Ship,5,2,265,3,low,M,10,4347,1,1,Low,Low,1,20,10,869.4,8,4,1,0.5927883707759108,0.5975609756097561,43470,2,low,0,Heavy,Low,1151955,Regular,1.5,1086.75
5953,D,Ship,3,2,204,10,medium,F,10,4534,0,1,Low,Medium,0,20,6,1511.3333333333333,13,4,-1,0.5904501472444258,0.5975609756097561,45340,0,,0,Heavy,Low,924936,Frequent,1.0,1133.5
5954,F,Ship,5,1,233,7,medium,F,5,5759,1,1,VeryLow,Medium,0,5,5,1151.8,12,4,1,0.5904501472444258,0.5975609756097561,28795,1,medium,0,Heavy,Low,1341847,Frequent,1.0,1439.75
5955,A,Ship,4,5,134,3,low,F,8,5694,0,1,High,Low,0,40,20,1423.5,7,4,0,0.5927883707759108,0.5975609756097561,45552,0,,0,Heavy,Low,762996,Regular,2.5,1423.5
5956,B,Ship,3,4,153,3,medium,F,9,5474,0,1,Standard,Low,0,36,12,1824.6666666666667,6,4,-1,0.5904501472444258,0.5975609756097561,49266,0,,0,Heavy,Low,837522,Regular,2.0,1368.5
5957,C,Ship,2,5,241,3,medium,F,3,4253,1,1,High,Low,0,15,10,2126.5,5,4,-2,0.5904501472444258,0.5975609756097561,12759,5,medium,0,Heavy,Low,1024973,Regular,3.0,1063.25
5958,F,Ship,4,5,187,3,low,M,7,5022,1,1,High,Low,1,35,20,1255.5,7,4,0,0.5927883707759108,0.5975609756097561,35154,5,low,0,Heavy,Low,939114,Regular,3.0,1255.5
5959,D,Ship,3,3,148,3,low,F,8,5622,0,1,Average,Low,0,24,9,1874.0,6,4,-1,0.5927883707759108,0.5975609756097561,44976,0,,0,Heavy,Low,832056,Regular,1.5,1405.5
5960,F,Ship,3,4,133,8,medium,F,10,5439,1,1,Standard,Medium,0,40,12,1813.0,11,4,-1,0.5904501472444258,0.5975609756097561,54390,4,medium,0,Heavy,Low,723387,Frequent,2.5,1359.75
5961,A,Ship,6,1,250,4,low,M,10,1623,1,1,VeryLow,Low,1,10,6,270.5,10,4,2,0.5927883707759108,0.5975609756097561,16230,1,low,0,Light,Low,405750,Regular,1.0,405.75
5962,B,Ship,6,1,249,4,medium,M,2,1326,1,1,VeryLow,Low,1,2,6,221.0,10,4,2,0.5904501472444258,0.5975609756097561,2652,1,medium,0,Light,Low,330174,Regular,1.0,331.5
5963,C,Ship,5,2,259,5,low,M,8,1678,0,1,Low,Low,1,16,10,335.6,10,4,1,0.5927883707759108,0.5975609756097561,13424,0,,0,Light,Low,434602,Regular,1.0,419.5
5964,F,Ship,6,4,266,4,low,M,5,1639,1,1,Standard,Low,1,20,24,273.1666666666667,10,4,2,0.5927883707759108,0.5975609756097561,8195,4,low,0,Light,Low,435974,Regular,2.5,409.75
5965,D,Ship,6,5,244,4,medium,F,6,1185,0,1,High,Low,0,30,30,197.5,10,4,2,0.5904501472444258,0.5975609756097561,7110,0,,0,Light,Low,289140,Regular,2.5,296.25
5966,F,Ship,4,5,239,6,low,M,2,1879,0,1,High,Medium,1,10,20,469.75,10,4,0,0.5927883707759108,0.5975609756097561,3758,0,,0,Light,Low,449081,Frequent,2.5,469.75
5967,A,Ship,4,5,270,5,low,F,1,1187,1,1,High,Low,0,5,20,296.75,9,4,0,0.5927883707759108,0.5975609756097561,1187,5,low,0,Light,Low,320490,Regular,3.0,296.75
5968,B,Ship,6,3,270,4,low,F,7,1079,0,1,Average,Low,0,21,18,179.83333333333334,10,4,2,0.5927883707759108,0.5975609756097561,7553,0,,0,Light,Low,291330,Regular,1.5,269.75
5969,C,Ship,6,2,257,4,medium,M,1,1513,0,1,Low,Low,1,2,12,252.16666666666666,10,4,2,0.5904501472444258,0.5975609756097561,1513,0,,0,Light,Low,388841,Regular,1.0,378.25
5970,F,Ship,4,3,243,5,medium,F,3,1634,1,1,Average,Low,0,9,12,408.5,9,4,0,0.5904501472444258,0.5975609756097561,4902,3,medium,0,Light,Low,397062,Regular,2.0,408.5
5971,D,Ship,4,5,271,4,low,M,6,5078,0,1,High,Low,1,30,20,1269.5,8,4,0,0.5927883707759108,0.5975609756097561,30468,0,,0,Heavy,Low,1376138,Regular,2.5,1269.5
5972,F,Ship,6,3,202,4,medium,F,6,4249,0,1,Average,Low,0,18,18,708.1666666666666,10,4,2,0.5904501472444258,0.5975609756097561,25494,0,,0,Heavy,Low,858298,Regular,1.5,1062.25
5973,A,Ship,3,3,265,3,medium,F,3,5986,1,1,Average,Low,0,9,9,1995.3333333333333,6,4,-1,0.5904501472444258,0.5975609756097561,17958,3,medium,0,Heavy,Low,1586290,Regular,2.0,1496.5
